first_name,known_name,second_name,web_name
Mateus Gonçalo,Mateus Fernandes,Espanha Fernandes,M.Fernandes
Soungoutou,,Magassa,S.Magassa
Lukasz,,Fabianski,Fabianski
Ezra,,Mayers,Mayers
Airidas,,Golambeckis,Golambeckis
Mohamadou,,Kanté,Mohamadou Kanté
Pablo Felipe,Pablo,Pereira de Jesus,Pablo
Valentín,,Castellanos,Taty
Keiber,,Lamadrid,Lamadrid
Axel,,Disasi,Disasi
Sam,,Johnstone,Johnstone
José,José Sá,Malheiro de Sá,José Sá
Daniel,,Bentley,Bentley
Emmanuel,,Agbadou,Agbadou
Matt,,Doherty,Doherty
Hugo,Hugo Bueno,Bueno López,H.Bueno
Yerson,,Mosquera Valdelamar,Mosquera
Rodrigo,Rodrigo Gomes,Martins Gomes,R.Gomes
Santiago,Santiago Bueno,Ignacio Bueno,S.Bueno
Toti,Toti Gomes,Gomes,Toti
Ki-Jana,,Hoever,Hoever
Bastien,,Meupiyou Menadjou,Meupiyou
Pedro,Pedro Lima,Cardoso de Lima,Pedro Lima
Alfie,,Pond,Pond
Hwang,Hwang Hee-Chan,Hee-chan,Hee Chan
André,André,Trindade da Costa Neto,André
Jean-Ricner,,Bellegarde,Bellegarde
Fer,,López González,Fer López
João Victor,João Gomes,Gomes da Silva,J.Gomes
Gonçalo Manuel,,Ganchinho Guedes,Guedes
Marshall,,Munetsi,Munetsi
Boubacar,,Traoré,B.Traore
Tawanda,,Chirewa,Chirewa
Tom,,Edozie,Edozie
Enso,,González Medina,Gonzalez
Joe,,Hodge,Hodge
Fábio,,Soares Silva,Fábio Silva
Saša,,Kalajdžić,Kalajdžić
Leon,,Chiwome,Chiwome
Nathan,,Fraser,Fraser
Jhon,,Arias,J.Arias
David,,Møller Wolfe,Møller Wolfe
Jackson,,Tchatchoua,Tchatchoua
Ladislav,,Krejcí,Krejčí
Tolu,,Arokodare,Tolu
Mateus,,Mané,Mané
Saheed,,Olagunju,Olagunju
Luke,,Rawlings,Rawlings
Temple,,Ojinnaka,Ojinnaka
Ethan,,Sutherland,Sutherland
Jerome,,Abbey,Abbey
Angel,,Gomes,Angel
Adam,,Armstrong,Armstrong
